timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1759963536963,119,POST /auth/login,200,,Thread Group 1-1,text,true,,1238,274,1,1,http://localhost:8080/auth/login,119,0,1
1759963537083,15,Create Reminders,500,,Thread Group 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[5]]]00

****** comparison: [[[2]]]00

/",1026,613,1,1,http://localhost:8080/api/reminders,15,0,0
1759963537268,88,POST /auth/login,200,,Thread Group 1-2,text,true,,1238,274,1,1,http://localhost:8080/auth/login,88,0,1
1759963537357,10,Create Reminders,500,,Thread Group 1-2,text,false,"Test failed: code expected to equal /

****** received  : [[[5]]]00

****** comparison: [[[2]]]00

/",1026,614,1,1,http://localhost:8080/api/reminders,10,0,0
1759963537567,88,POST /auth/login,200,,Thread Group 1-3,text,true,,1238,274,1,1,http://localhost:8080/auth/login,88,0,1
1759963537656,12,Create Reminders,200,,Thread Group 1-3,text,true,,898,614,1,1,http://localhost:8080/api/reminders,12,0,0
1759963537868,91,POST /auth/login,200,,Thread Group 1-4,text,true,,1238,274,1,1,http://localhost:8080/auth/login,91,0,1
1759963537959,14,Create Reminders,200,,Thread Group 1-4,text,true,,898,614,1,1,http://localhost:8080/api/reminders,14,0,0
1759963538164,95,POST /auth/login,200,,Thread Group 1-5,text,true,,1238,274,1,1,http://localhost:8080/auth/login,95,0,1
1759963538259,17,Create Reminders,500,,Thread Group 1-5,text,false,"Test failed: code expected to equal /

****** received  : [[[5]]]00

****** comparison: [[[2]]]00

/",1026,614,1,1,http://localhost:8080/api/reminders,17,0,0
1759963538464,88,POST /auth/login,200,,Thread Group 1-6,text,true,,1238,274,1,1,http://localhost:8080/auth/login,88,0,1
1759963538553,16,Create Reminders,200,,Thread Group 1-6,text,true,,898,614,1,1,http://localhost:8080/api/reminders,16,0,0
1759963538764,87,POST /auth/login,200,,Thread Group 1-7,text,true,,1238,274,1,1,http://localhost:8080/auth/login,87,0,1
1759963538852,10,Create Reminders,200,,Thread Group 1-7,text,true,,898,614,1,1,http://localhost:8080/api/reminders,10,0,0
1759963539064,90,POST /auth/login,200,,Thread Group 1-8,text,true,,1238,274,1,1,http://localhost:8080/auth/login,90,0,1
1759963539155,12,Create Reminders,200,,Thread Group 1-8,text,true,,898,614,1,1,http://localhost:8080/api/reminders,12,0,0
1759963539365,101,POST /auth/login,200,,Thread Group 1-9,text,true,,1238,274,1,1,http://localhost:8080/auth/login,101,0,1
1759963539466,13,Create Reminders,200,,Thread Group 1-9,text,true,,898,614,1,1,http://localhost:8080/api/reminders,13,0,0
1759963539666,91,POST /auth/login,200,,Thread Group 1-10,text,true,,1238,274,1,1,http://localhost:8080/auth/login,91,0,0
1759963539758,12,Create Reminders,200,,Thread Group 1-10,text,true,,898,614,1,1,http://localhost:8080/api/reminders,11,0,0
1759963539964,91,POST /auth/login,200,,Thread Group 1-11,text,true,,1238,274,1,1,http://localhost:8080/auth/login,91,0,1
1759963540055,9,Create Reminders,500,,Thread Group 1-11,text,false,"Test failed: code expected to equal /

****** received  : [[[5]]]00

****** comparison: [[[2]]]00

/",1026,614,1,1,http://localhost:8080/api/reminders,9,0,0
1759963540265,87,POST /auth/login,200,,Thread Group 1-12,text,true,,1238,274,1,1,http://localhost:8080/auth/login,87,0,1
1759963540353,8,Create Reminders,200,,Thread Group 1-12,text,true,,897,613,1,1,http://localhost:8080/api/reminders,8,0,0
1759963540565,89,POST /auth/login,200,,Thread Group 1-13,text,true,,1238,274,1,1,http://localhost:8080/auth/login,89,0,1
1759963540655,15,Create Reminders,500,,Thread Group 1-13,text,false,"Test failed: code expected to equal /

****** received  : [[[5]]]00

****** comparison: [[[2]]]00

/",1026,615,1,1,http://localhost:8080/api/reminders,15,0,0
1759963540864,93,POST /auth/login,200,,Thread Group 1-14,text,true,,1238,274,1,1,http://localhost:8080/auth/login,93,0,1
1759963540957,13,Create Reminders,200,,Thread Group 1-14,text,true,,898,614,1,1,http://localhost:8080/api/reminders,12,0,0
1759963541179,90,POST /auth/login,200,,Thread Group 1-15,text,true,,1238,274,1,1,http://localhost:8080/auth/login,90,0,1
