timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1759452027853,82,POST /auth/signup.,200,,TG-Signup 1-1,text,true,,993,303,1,1,http://localhost:8080/auth/signup,82,0,2
1759452028462,73,POST /auth/signup.,200,,TG-Signup 1-2,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,73,0,1
1759452029053,75,POST /auth/signup.,200,,TG-Signup 1-3,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,75,0,1
1759452029655,75,POST /auth/signup.,200,,TG-Signup 1-4,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,75,0,1
1759452030264,74,POST /auth/signup.,200,,TG-Signup 1-5,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,74,0,1
1759452030868,73,POST /auth/signup.,200,,TG-Signup 1-6,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,73,0,0
1759452031453,74,POST /auth/signup.,200,,TG-Signup 1-7,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,74,0,1
1759452032055,74,POST /auth/signup.,200,,TG-Signup 1-8,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,74,0,1
1759452032653,73,POST /auth/signup.,200,,TG-Signup 1-9,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,73,0,1
1759452033256,74,POST /auth/signup.,200,,TG-Signup 1-10,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,74,0,1
1759452033852,74,POST /auth/signup.,200,,TG-Signup 1-11,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,74,0,1
1759452034452,73,POST /auth/signup.,200,,TG-Signup 1-12,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,73,0,1
1759452035052,74,POST /auth/signup.,200,,TG-Signup 1-13,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,74,0,1
1759452035652,74,POST /auth/signup.,200,,TG-Signup 1-14,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,74,0,1
1759452036252,74,POST /auth/signup.,200,,TG-Signup 1-15,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,74,0,1
1759452036856,73,POST /auth/signup.,200,,TG-Signup 1-16,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,73,0,0
1759452037451,73,POST /auth/signup.,200,,TG-Signup 1-17,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,73,0,1
1759452038053,81,POST /auth/signup.,200,,TG-Signup 1-18,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,81,0,0
1759452038657,80,POST /auth/signup.,200,,TG-Signup 1-19,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,80,0,1
1759452039255,81,POST /auth/signup.,200,,TG-Signup 1-20,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,81,0,1
1759452039856,74,POST /auth/signup.,200,,TG-Signup 1-21,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,74,0,1
1759452040470,75,POST /auth/signup.,200,,TG-Signup 1-22,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,75,0,1
1759452041055,73,POST /auth/signup.,200,,TG-Signup 1-23,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,73,0,1
1759452041656,73,POST /auth/signup.,200,,TG-Signup 1-24,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,73,0,0
1759452042257,74,POST /auth/signup.,200,,TG-Signup 1-25,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,74,0,1
1759452042855,74,POST /auth/signup.,200,,TG-Signup 1-26,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,74,0,1
1759452043457,79,POST /auth/signup.,200,,TG-Signup 1-27,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,79,0,0
1759452044054,75,POST /auth/signup.,200,,TG-Signup 1-28,text,true,,1027,324,1,1,http://localhost:8080/auth/signup,75,0,1
